normalized_token,classification,count,variant_examples,sample_contexts
Евразийский,unknown,2,Евразийского (1); Евразийской (1),"Министр по интеграции и макроэкономике Евразийской экономической комиссии, академик Сергей | в Китая в Азии. - Против формирующегося Евразийского союза американцы тоже нашли эффективный"
Путиным,title,2,Путиным (2),"ринято, а принято оно может быть только Путиным. Возможно, он и хочет продолжения конфр | довал и с президентом России Владимиром Путиным».  Нефть Brent на этих заявлениях Трамп"
Матвей Парижский,person,2,Матвей Парижский (1); Матвея Парижского (1),"их напал. Так, для английского хрониста Матвея Парижского эти захватчики представляли собой полну | имому, ничего не зная о законах Моисея, Матвей Парижский решил, что он, должно быть, прав: сбивш"
Меньшиков,unknown,2,Меньшиков (1); Меньшикова (1),"Под этим словами русского националиста Меньшикова, написанными в 1908 году (в статье «Чьё | рвативный публицист того времени Михаил Меньшиков, которого трудно заподозрить в симпатия"
Алексей Коровашко,person,2,Алексея Коровашко (1); Молодой (1),Коровашко «Михаил Бахтин» в серии ЖЗЛ «Молодой гвардии». Интересным показался вот како | Читаю книгу Алексея Коровашко «Михаил Бахтин» в серии ЖЗЛ «Молодой гв
Ноо,unknown,2,НОО (2),выводить на низкую околоземную орбиту (НОО) полезную нагрузку до 64 тонн (это мини | груз на орбиту на высоту хотя бы той же НОО (193-220 километров в перигее и апогее
Черкалин,unknown,2,Черкалина (2),"ещё миллиарды полковников Захарченко и Черкалина. Расходовать эти деньги фонд мог бы тол | полковников-спецслужбистов Захарченко и Черкалина, у каждого под 10 млрд. руб. только нал"
Ямал,title,2,Ямал (2),"ссии почти ничего. Посмотрим на проект «Ямал СПГ». Финансирование - Китай, Франция. | паде, то делают это – как с тем же СПГ «Ямал», который приобрели у французов и китай"
Правды,title,2,Правды (2),"идворными журналистами из «Известий» и «Правды» Николаем Поляновым и Юрием Жуковым пис | еориях Троцкого, Бухарина, передовицах ""Правды"" и даже не о речах великого Сталина. Эл"
Сатурн,title,2,Сатурн (2),"американских ракет-носителей семейства ""Сатурн"", созданных более полувека назад герман | Аттракцион «Сатурн» в ЦПКиО им. Горького, Москва, 1978 год"
Кпд,unknown,2,КПД (2),"есс с коэффициентом полезного действия (КПД) в 3-4%. Да, да.  Именно столько состав | узку в 3,7 тонны! Это вообще дает общий КПД запуска в 0,26%! Даже в рамках нашей уб"
Дедушка Твиттлер,person,2,Дедушка Твиттлер (2),"зы и разместить там свои ракеты"". Скоро Дедушка Твиттлер сам разместит российские ракеты у себя | дах, он тоже начнёт просто крушить, как Дедушка Твиттлер, свою посудную лавку.  Интересно, науча"
Code,title,2,Code (2),"nstitution, Part I of the Russian Civil Code, and the Russian Tax Code». PS В обратн | Russian Civil Code, and the Russian Tax Code». PS В обратной связи мне верно дополня"
Раменское,unknown,2,Раменское (2),"ИПИтранспрогресс» в подмосковном городе Раменское) в 1985 году. Первый успешный пуск (под | 4,8%, Балашиха – 3,7%, Люберцы – 2,9%, Раменское – 2,4%, Краснодар – 2,3%, Севастополь –"
Хмао,unknown,2,ХМАО (2),"ожидаемо Московская агломерация, Питер, ХМАО+ЯНАО, Камчатка. И - Чечня (в которой оф | е побережье. 3)Нефтяные районы и города ХМАО, в меньшей степени ЯНАО. 4)Центральные"
Янао,unknown,2,ЯНАО (2),"емо Московская агломерация, Питер, ХМАО+ЯНАО, Камчатка. И - Чечня (в которой официал | районы и города ХМАО, в меньшей степени ЯНАО. 4)Центральные районы Якутии и Тувы (ре"
Николя,unknown,2,Николя (2),"ончил элитный иезуитский колледж аббата Николя в Петербурге, чем очень гордился. Выход | которой входит бывший президент Франции Николя Саркози. О тесной связи «московской гру"
Перлюстрация,title,2,Перлюстрация (2),едисловии к книге Александра Смыкалина «Перлюстрация корреспонденции и почтовая цензура в Ро | м путём» - перлюстрацией и прослушкой: «Перлюстрация - это необходимая аналитическая процеду
Рабле,unknown,2,Рабле (2),"а свет» Бахтина и особенно его работу о Рабле (карнавализме) КГБ. Сначала упоминается | экономка и другая прислуга. Его книга о Рабле печатается в десятках стран мира, призн"
Декамерон,title,2,Декамерон (2),появилась возможность полностью издать «Декамерон» и познакомить с ним широкие читательск | лящий характер его передовой культуры. «Декамерон» и сегодня сохраняет своё живое значени
Жалко,unknown,2,Жалко (2),"превышению числа мужчин над женщинами (Жалко, что такой карты нет по Украине и Росси | граждан тоскуют по имперским потерям. (Жалко, что не провели опрос по странам бывшей"
Витта,person,2,Витте (2),"резко выступил министр финансов Сергей Витте, в знак протеста он даже подал прошение | отставке. В обоснование своего протеста Витте приводил следующий довод: «Черноморский"
Малиновский,unknown,2,Малиновским (1); Малиновского (1),"ю с охранником Лаврентии Берия – Иваном Малиновским. В 2017-м ему было 97 лет, и он пребыва | м не было). Интересна дальнейшая судьба Малиновского:  «Я попал в ссылку в Иваново. Поселили"
Иван Малиновский,person,2,Иваном Малиновским (1); Кстати (1),"а его начальника) он посидел в тюрьме. (Кстати, Малиновский уверен, что Берию расстрел | интервью с охранником Лаврентии Берия – Иваном Малиновским. В 2017-м ему было 97 лет, и он пребыва"
ФСО,title,2,ФСО (2),й большой праздник присылают подарки от ФСО». | я правительства будет руководить офицер ФСО. Аналитический центр при правительстве
Байкал,title,2,Байкал (2),"отине Иркутской ГЭС, которая регулирует Байкал, сбрасывали воду. Колоссальный объем, с | ла. Кстати, если снизить сброс воды, то Байкал быстро придет в норму. Но кому эту нужн"
Константинополь,title,2,Константинополь (2),"века Византии? Центр осколков империи – Константинополь, город-паразит, как нынешняя Москва, от | гие византийские феодалы переселяются в Константинополь. Феодалы всё шире включались в ростовщи"
Иркутский Гэс,person,2,Иркутской ГЭС (2),"столько воды? Очень просто, на плотине Иркутской ГЭС, которая регулирует Байкал, сбрасывали | тому и сбрасывали огромный поток воды с Иркутской ГЭС, обеспечивая РУСАЛ почти дармовой элект"
Четвёртому,title,2,Четвёртому (2),"открылось, что Филофеево пророчество - «Четвёртому не быть!» - утверждало вовсе не гаранти | стианских мировых царств. Христианскому Четвёртому Риму возникнуть и впрямь не из чего, но"
Капитала,title,2,Капитала (2),"апитала». Как известно, первый перевод «Капитала» был сделан на русском языке, в апреле | в России было продано 900 экземпляров «Капитала». Феноменальный успех для научных книг"
Ноздрёв,title,2,Ноздрёв (2),"оту в МОПИ, ректор института, профессор Ноздрёв, сказал ему: «У вас, Ерванд Амаякович, | ся такой же акцент у меня?» После этого Ноздрёв взял отца на работу».  Кургинян выходец"
Архангельский,unknown,2,Архангельские (1); Архангельской (1),вского края; введение в состав северной Архангельской области далеких южных земель. Территори | упционного комитета - Калининградская и Архангельские области получили независимость и вступи
Тюменский,unknown,2,Тюменской (2),я форма территорий Красноярского края и Тюменской области (вытянуты с юга на север до Арк | Депутат Тюменской областной думы Владимир Пискайкин поинт
Красноярский,unknown,2,Красноярского (1); Красноярском (1),пактная нерациональная форма территорий Красноярского края и Тюменской области (вытянуты с юг | ансфертные цены.  В Иркутской области и Красноярском крае РУСАЛ использует толлинговые схемы
Гурвич,unknown,2,Гурвич (2),"Н.Забелиной фабрики «Большевик», Михаил Гурвич, 1980 год | ь Экономической экспертной группы Евсей Гурвич: «Надо давать деньги людям, а не крупны"
Никитович,unknown,2,Никитич (1); Никитича (1),"богатырь с чертами мультяшного Добрыни Никитича». Примерно по 15% набрали образы «охотн | «Сейчас мы вас судить будем!», Гавриил Никитич Горелов (1880-1966), 1923 год"
Григорий Распутин,person,2,Григорием Распутиным (1); Григория Распутина (1),"ие главные темы в повестке? Канонизация Григория Распутина и Ивана Грозного, борьба против прививо | аевич Романов с Царским Другом, старцем Григорием Распутиным», Михаил Кудреватый, 1989-90 год"
Славой Жижек,person,2,Жижека (1); Славоя Жижека (1),У Славоя Жижека ещё в 2011 году была важная мысль. Посл
Шамиль Басаев,person,2,Шамиль Басаев (1); Шамиля Басаева (1),"якобы третью жену Сталина и его «внука» Шамиля Басаева. Серго Берия, сын Лаврентия Берии, писа | вают российские спецслужбы» (чуть ли не Шамиль Басаев). В общем, чем больше будет закрытых ар"
Шамиль,person,2,Шамиль (2),"вают российские спецслужбы» (чуть ли не Шамиль Басаев). В общем, чем больше будет закр | Политолог Шамиль Султанов приводит интересную хронологию"
Серебряный,unknown,2,Серебряном (1); Серебряный (1),ачале 1950-х за кражу кроликов с дачи в Серебряном Бору. Якобы уже тогда Юрий начал спиват | те с царизмом ушли из внимания 19 век и Серебряный век России. - Резко вырос и растёт инте
Четвертый Рим,person,2,Четвертого Рима (1); Четвёртому Риму (1),"стианских мировых царств. Христианскому Четвёртому Риму возникнуть и впрямь не из чего, но этим | зрастания неоязыческого («сумеречного») Четвертого Рима, стоящего вне Филофеева ряда и подминаю"
Бородуля,title,2,Бородуля (2),"6 годах Корней Чуковский написал роман «Бородуля», от авторства которого он открещивался | я советских 1920-х Утопия: гений-учёный Бородуля по заданию фашистов проникает в СССР, ч"
Иосифа,title,2,Иосифа (2),"емянница Кагановича Роза… не была женой Иосифа Виссарионовича, но ребёнок от Сталина у | й самоубийства Надежды Аллилуевой, жены Иосифа Виссарионовича. Ребёнка, росшего в семь"
Цымбурского-неклесс,person,2,Цымбурского-Неклессы (2),ную полемику с философом Неклессой. И у Цымбурского-Неклессы было тогда видение о двух магистральных | вот спустя пятнадцать лет предсказание Цымбурского-Неклессы сбылось – Россия выбрала первый путь. Н
Союзного,title,2,Союзного (2),"в этой работе) подготовил проект нового Союзного договора — канву, основную идеологию Со | го договора — канву, основную идеологию Союзного договора — в июне-июле 1989-го года. Мы"
Лимбо,title,2,Лимбо (2),"Одна из обложек книги Бернарда Вольфа «Лимбо». Его роман в одном ряду с антиутопиями | и. Тем более удивительно, что в России «Лимбо» так и не переведён (при нашей любви к"
Бернард Вольф,person,2,Бернарда Вольфа (2),"али встретил краткий пересказ НФ-романа Бернарда Вольфа «Лимб», написанного в 1952 году. «Лимб» | редыдущему посту) Одна из обложек книги Бернарда Вольфа «Лимбо». Его роман в одном ряду с антиу"
Цфо,unknown,2,ЦФО (2),"вень убийств там в 2,5 раза выше, чем в ЦФО, в 2 раза больше суицидов. Поразительно | аков сейчас средний возраст в стране. В ЦФО в 2010 году – 41 год, в СЗФО – 40,2 (се"
Кальмера,unknown,2,Кальмера (2),"У современного шведского историка Кальмера встретил краткое, но весьма ёмкое описа | У Кальмера также прочитал, что одной из основных з"
Население Россия,person,2,Население России (2),"(Скачал большой статистический сборник «Население России 2016. 24-й ежегодный демографический до | изации экономики дадут слабый эффект. - Население России продолжит сокращаться, и в 2030 г. умен"
Ft,unknown,2,FT (2),Про интервью Путина FT и его речи в Осаке ничего говорить не х | редыдущему посту. После интервью Путина FT и речей в Осаке от его российских оппон
Осака,unknown,2,Осаке (2),Про интервью Путина FT и его речи в Осаке ничего говорить не хочется. Кратко толь | сту. После интервью Путина FT и речей в Осаке от его российских оппонентов можно было
Путин Ft,person,2,Путина FT (2),Про интервью Путина FT и его речи в Осаке ничего говорить не х | ить к предыдущему посту. После интервью Путина FT и речей в Осаке от его российских оппон
Лестер,person,2,Лестер (2),"Американский экономист Туроу Лестер в своей книге «Будущее капитализма» от | ир – это войны и архаика, предсказывает Лестер ещё в 1996-м (он, кстати, умер в 2016 г"
Николай Шувалов,person,2,Николай Шувалов (2),"«Окраина». Костромской художник Николай Шувалов, 1970 год. Один из любимых советских ху | ком номере 1968 года писал о Шувалове: «Николай Шувалов жаден до всего. Его томит радость перев"
Внутренний,unknown,2,Внутренней (1); Внутренняя (1),"тия своих самых бедных провинций – типа Внутренней Монголии, Манчжурии и Синцзяна. Китай м | ется. Формируется и быстро растет новая Внутренняя периферия - зона социальной катастрофы"
Антанта,title,2,Антанта (2),"онтанной; чтобы спасти Восточный фронт, Антанта предлагала Керенскому частичную демобил | ли этому – «проект «Российско-китайская Антанта». Очень круто! https://carnegie.ru/comm"
Юмашева,title,2,Юмашева (2),"себя в ЖЖ пишет, что  «третье интервью Юмашева за несколько последних месяцев на одну | дя по всему, два предыдущих выступления Юмашева были признаны неудачными, недостаточно"
РУСАЛа,title,2,РУСАЛа (2),главные виновники тут РусГидро и заводы РУСАЛа. Вот пример: «Откуда же пришло столько | ко дешевое электричество. Для кого? Для РУСАЛа Поэтому и сбрасывали огромный поток вод
Виссарионовича,title,2,Виссарионовича (2),"а Кагановича Роза… не была женой Иосифа Виссарионовича, но ребёнок от Сталина у неё был. Сама | бийства Надежды Аллилуевой, жены Иосифа Виссарионовича. Ребёнка, росшего в семье Кагановича, я"
Платон,title,2,Платон (2),"й пример, как губит агробизнес система «Платон». Тонна пшеницы 3-го класса в его регио | 00 руб. Если продать её на экспорт, то «Платон» - перевозка грузовиком до черноморских"
Чернигов,unknown,2,Чернигова (2),"– в лесные зоны (современные территории Чернигова, Брянска и Смоленска).  Исходная форма | Горбачёвых (родители обоих – выходцы из Чернигова).  Ельцин – уже ближе, выходец из старо"
Владимирович Мичурин,person,2,Владимирович Мичурин (1); Владимировича Мичурина (1),"рождения величайшего селекционера Ивана Владимировича Мичурина (1855-1935). Его жизнь очень похожа на | ов со скрещиванием растений, о чём Иван Владимирович Мичурин потом неоднократно вспоминал. «Твои скр"
Мичурин,person,2,Мичурин (2),"анием растений, о чём Иван Владимирович Мичурин потом неоднократно вспоминал. «Твои скр | сяч долларов на наши деньги). 58-летний Мичурин отказался от этого предложения, так как"
Мичурина,title,2,Мичурина (2),айшего селекционера Ивана Владимировича Мичурина (1855-1935). Его жизнь очень похожа на | поп Христофор Потапьев посетил питомник Мичурина и потребовал от него прекращения опытов
Калиновский,title,2,Калиновский (2),"принимают магометанскую веру, - пишет К Калиновский, - не опасаются более выдачи русским». | , который имел жену и взрослых детей. К Калиновский писал о своих чувствах к чеченской деву"
Лишь,title,2,Лишь (2),и выжженой земли сеяли семена злаков. «Лишь иногда площадь подсеки разрыхлялась коп | «Левада-центр»: «Лишь 11% россиян стыдится гонений на Церковь
Брусника,title,2,Брусника (2),"ода руководитель строительной компании «Брусника» Барт Голдхоорн рассказал о главном отл | енную жилую среду».  При этом компания «Брусника», несмотря не декларируемые ее руководи"
Арбат,title,2,Арбат (2),"разных Сталиных. Кто-то будет петь «Ах, Арбат, мой Арбат». Кто-то вспоминать его как | иных. Кто-то будет петь «Ах, Арбат, мой Арбат». Кто-то вспоминать его как полководца."
Салазар,unknown,2,Салазар (2),"мент. Если какой-нибудь Гитлер, Франко, Салазар, Пиночет и т.п. крайне правый деятель в | скими лидерами – Ленин, Сталин, Франко, Салазар, Гитлер, Муссолини, Ататюрк, Мао и т.д."
Голдхоорн,person,2,Голдхоорн (2),ь строительной компании «Брусника» Барт Голдхоорн рассказал о главном отличии европейских | мные кварталы из многоквартирных домов (Голдхоорн показал такие проекты застройки в Екате
Методолог Георгий,person,2,Методолог Георгий (2),"Методолог Георгий Щедровицкий, из лекций в апреле 1989 го | Методолог Георгий Щедровицкий, из лекции, Москва, апрель"
Analytics,unknown,2,Analytics (2),"ую картину, показало исследование Brand Analytics. Обе кривых имеют подъемы в юности (14- | есятков систем получения данных: Google Analytics, Mindbox, Axapta (ERP) и т.д.  Вся инфо"
Шорох Кумысок,person,2,Шорохи Кумыски (2),"о природный парк на западе Саратова, а «Шорохи Кумыски» - это небольшой (пока) канал о жизни в | а Романова  Рекомендуем подписаться на «Шорохи Кумыски», ведь в Телеграме так мало качественны"
Кумыски,title,2,Кумыски (2),"дный парк на западе Саратова, а «Шорохи Кумыски» - это небольшой (пока) канал о жизни в | ова  Рекомендуем подписаться на «Шорохи Кумыски», ведь в Телеграме так мало качественны"
Макколм Гроу,person,2,Макколм Гроу (1); Солдаты (1),кой необычный факт в русском чаепитии: «Солдаты заполняли чайники и бежали обратно к по | Американский военный хирург Макколм Гроу во время Первой Мировой войны служил в
Шорохи,title,2,Шорохи (2),"о природный парк на западе Саратова, а «Шорохи Кумыски» - это небольшой (пока) канал о | а Романова  Рекомендуем подписаться на «Шорохи Кумыски», ведь в Телеграме так мало кач"
Ростелеком,unknown,2,Ростелекома (2),"усками Газпрома, Сбербанка, Транснефти, Ростелекома и т.д., так и легализовать капиталы выс | х операторов, теперь – водянистый ответ Ростелекома. Конкретных цифр никто из них не называ"
Иван Владимирович,person,2,Иван Владимирович (1); Ивана Владимировича (1),"день рождения величайшего селекционера Ивана Владимировича Мичурина (1855-1935). Его жизнь очень п | опытов со скрещиванием растений, о чём Иван Владимирович Мичурин потом неоднократно вспоминал. «"
Андрея,title,2,Андрея (2),"нов экипажа"". Или: ""яхта владельца СУЭК Андрея Мельниченко из-за нарушения правил судо | ии знаменитых московских воров в законе Андрея Исаева (Роспись) и Владимира Савоськина"
Mref,unknown,2,MREF (2),-конференции «Ведомостей» - Агрофорум и MREF (по недвижимости). Сначала реверанс в с | от противостояния с Западом. Сегодня на MREF после вопроса модератора Сергея Рябокоб
Збигнев,person,2,Збигнев (2),"покойный американский ястреб-советолог Збигнев Бжезинский в конце 2016 года, оказывает | мени. На очереди у нас советолог-ястреб Збигнев Бжезинский, один из самых радикально ан"
Киприан,unknown,2,Киприана (2),"ергий поддержал в 1378 году митрополита Киприана, назначенного Константинополем. А Дмитр | ого Константинополем. А Дмитрий прогнал Киприана, назначив митрополитом своего человека"
Евгений Флекенштейн,person,2,Евгения Флекенштейн (2),"годы, я увидел, что матушка Андропова – Евгения Флекенштейн, дочь владельца ювелирно-часового магаз | служащий Владимир Андропов, чью фамилию Евгения Флекенштейн стала носить где-то с конца 1916 ‒ нача"
Геннадий Костырченко,person,2,Андроповых (1); Геннадий Костырченко (1),"917 годов?  Примерно тогда же семейство Андроповых выехало из Москвы в Ростов-на-Дону, где | тской политики и национальных отношений Геннадий Костырченко первым обнаружил еврейские корни у глав"
Нагутскай,unknown,2,Нагутская (2),"у на кавказской железнодорожной станции Нагутская, если его мать в это время жила и работ | ожную станцию, которой была, кстати, не Нагутская, а Беслан. Окончив школу в Моздоке, Гри"
Чаще,title,2,Чаще (2),"ло, но косвенную оценку можно увидеть: «Чаще всего респонденты допускают, что подпиш | ьного русского (65% от общего числа):  «Чаще всего это военный – моряк в бескозырке"
Флекенштейн,person,2,Флекенштейн (2),"увидел, что матушка Андропова – Евгения Флекенштейн, дочь владельца ювелирно-часового магаз | Владимир Андропов, чью фамилию Евгения Флекенштейн стала носить где-то с конца 1916 ‒ нача"
Вэу,unknown,2,ВЭУ (2),"а опытная ветроэлектрическая установка (ВЭУ) Д-30, имевшая ветроколесо диаметром 30 | проектирована и построена отечественная ВЭУ «Радуга-1» мощностью 1 МВт – один из пе"
Рохлина,title,2,Рохлина (2),"и т.д., а уже в новейшее время – «дела Рохлина». Усиления влияния армии, роста её имид"
Вэс,unknown,2,ВЭС (2),евро).  Также итальянцы строят Азовскую ВЭС мощностью 90 МВт и Родниковский ветропа | сса». Т.е. машиностроительные заказы на ВЭС уйдут в Европу.  Это тем более печально
Гофф,unknown,2,Гоффа (1); Гоффу (1),Перечитываю книгу Жака Ле Гоффа «Другое Средневековье». И он обращает в | еской историей. Есть факт важнее (по Ле Гоффу) – это ненависть христиан того времени
Экономическая,title,2,Экономическая (2),"считаются уже люди от 42 лет. (журнал «Экономическая политика», №2, 2019) | Экономист Евгений Гонтмахер в журнале «Экономическая социология» (№5, 2018) напоминает, что"
Джон Дир,person,2,Джон Дир (2),ростой пример: 2 американских трактора «Джон Дир» и 5 вспомогательных агрегатов обслужив | в 5-10 человек на американской технике «Джон Дир». Тоже не фантазия – это всё уже происх
Дир,title,2,Дир (2),й пример: 2 американских трактора «Джон Дир» и 5 вспомогательных агрегатов обслужив | 0 человек на американской технике «Джон Дир». Тоже не фантазия – это всё уже происх
Гофф,person,2,Гофф (2),"является христианство. При том, что Ле Гофф учёный академический, умеренно консерва | ством, как самым достойным занятием. Ле Гофф пишет:  «Наиболее важным в этом христиа"
Наверное,unknown,2,Наверное (2),"тях всей российской торговли по морю». (Наверное, лет через 20-30 узнаем о тайных перего | ения, достаточно религиозных обрядов». (Наверное, это ещё и связано с тем, что «матерям-"
Нкошник,unknown,2,НКОшник (1); НКОшников (1),"отни российских блогеров, журналистов и НКОшников) отношение к России было пугливо-положи | олжен думать не политический активист и НКОшник из России? «Да нахрена надо. Жить у нас"
Сорокин,unknown,2,Сорокин (1); Сорокина (1),"российско-американский социолог Питирим Сорокин приводит долю религиозных и светских ка | ы. Дальше уже начинаются сюжеты из книг Сорокина. Б-же, храни Россию от идиотов!"
Примакова-гвишиани,unknown,2,Примакова-Гвишиани (2),"еские семинары и институт в Вене), клан Примакова-Гвишиани и т.д. По всей видимости, этот процесс | е человек интересный. Верный член Клуба Примакова-Гвишиани (это отдельная ветвь чекизма, правоопре"
Олеша,person,2,Олеша (2),"ением цензуры пришлось переписать, Юрий Олеша пишет: ""Нужно знать, какие сны снятся к | психики - отражение в зеркале"". (""Юрий Олеша и Всеволод Мейерхольд в работе над спек"
Лотарингия,unknown,2,Лотарингии (2),"ства, председатель Регионального совета Лотарингии) | емель (например, как аннексия Эльзаса и Лотарингии Германией примерно в то же время; или к"
Ввп Америка,person,2,ВВП Америки (2),"ания, в брежневское время - пик (43% от ВВП Америки) | шных прогнозов экономистов об обрушении ВВП Америки на 20-50% и росте безработицы до 20-30%"
Hall,unknown,2,Hall (2),"ую продержится не более года. (Prentice Hall, 1957 год) - Что может быть полезного в | тому когда в 1775 г. Принс Холл (Prince Hall) и еще 14 чернокожих жителей колоний за"
Ни,unknown,2,Ни (2),"ng Systems Division of IBM, 1968 год) - Ни у кого не может возникнуть необходимост | нула многие страны Европы и Америки.  - Ни в одной группе не прозвучало агрессивны"
Microsoft,unknown,2,Microsoft (2),"ком большая цена за такую компанию, как Microsoft. (IBM, 1982 год). (Сегодня многие даже | 7 млрд. евро, Google - 12,9 млрд. евро, Microsoft - 12,4 млрд. евро. Очень странно, кстат"
Ссср Николай,person,2,СССР Николай (2),"аместитель министра радиопромышленности СССР Николай Горшков, 1980 год) - 100 миллионов долл | историк из Института востоковедения АН СССР Николай Иванов в монографии ""Эволюция восточных"
Дмитриевич,unknown,2,Дмитриевич (2),"олько, что говорю: ""Катастрофа, Дмитрий Дмитриевич, катастрофа!"" Шостакович человек страшн | ""Что такое, что такое?"" Я ему: ""Дмитрий Дмитриевич, ситуация такая: бензин на нуле, бензоб"
Горького,title,2,Горького (2),"далеко. Я влил бензину, и мы доехали до Горького"". (Соломон Волков, "" Диалог с Ростропов | - ""Сталин у постели умирающего Максима Горького"" (находится в нижегородском Художествен"
Дмитрий Дмитриевич,person,2,Дмитрий Дмитриевич (2),"лся настолько, что говорю: ""Катастрофа, Дмитрий Дмитриевич, катастрофа!"" Шостакович человек страшн | машине: ""Что такое, что такое?"" Я ему: ""Дмитрий Дмитриевич, ситуация такая: бензин на нуле, бензоб"
Соломон Волков,person,2,Соломон Волков (2),"ил бензину, и мы доехали до Горького"". (Соломон Волков, "" Диалог с Ростроповичем"") | говорить. Посоветоваться. Подраться!"". (Соломон Волков. ""Свидетельство. Воспоминания Дмитрия Ш"
Киевской,title,2,Киевской (2),"д, затем западно- и южнорусы, выученики Киевской Могилянской академии (где учение шло по | в России был заполнен теми же учениками Киевской Могилянской академии или греками, котор"
Могилянской,title,2,Могилянской (2),"западно- и южнорусы, выученики Киевской Могилянской академии (где учение шло по-польски и л | был заполнен теми же учениками Киевской Могилянской академии или греками, которые религиозн"
Феофан,title,2,Феофан (2),", например, талантливейший, но ""жуткий"" Феофан Прокопович.  Не надо забывать, что с 17 | ри Анне Иоанновне совсем распоясавшийся Феофан Прокопович добился ссылки в Сибирь неск"
Прокопович,title,2,Прокопович (2),"мер, талантливейший, но ""жуткий"" Феофан Прокопович.  Не надо забывать, что с 1720-х годов | Иоанновне совсем распоясавшийся Феофан Прокопович добился ссылки в Сибирь нескольких конс"
Петре,title,2,Петре (2),"ркви, то тоже следует отметить, что при Петре и Анне Иоанновне немало великорусских е | ""русской"" Церкви закончились только при Петре III, он же приказал прекратить самые ва"
Анне,title,2,Анне (2),"тоже следует отметить, что при Петре и Анне Иоанновне немало великорусских епископо | интересующихся церковью бюрократов. При Анне Иоанновне совсем распоясавшийся Феофан"
Иоанновне,title,2,Иоанновне (2),"следует отметить, что при Петре и Анне Иоанновне немало великорусских епископов было сме | есующихся церковью бюрократов. При Анне Иоанновне совсем распоясавшийся Феофан Прокопович"
Киевский Могилянский,person,2,Киевской Могилянской (2),"д, затем западно- и южнорусы, выученики Киевской Могилянской академии (где учение шло по-польски и л | в России был заполнен теми же учениками Киевской Могилянской академии или греками, которые религиозн"
Феофан Прокопович,person,2,Феофан Прокопович (2),", например, талантливейший, но ""жуткий"" Феофан Прокопович.  Не надо забывать, что с 1720-х годов | ри Анне Иоанновне совсем распоясавшийся Феофан Прокопович добился ссылки в Сибирь нескольких конс"
Анне Иоаннович,person,2,Анне Иоанновне (2),"тоже следует отметить, что при Петре и Анне Иоанновне немало великорусских епископов было сме | интересующихся церковью бюрократов. При Анне Иоанновне совсем распоясавшийся Феофан Прокопович"
